date,count
2017-10-30,3
2017-10-30,1
2017-10-27,1
2017-10-22,1
2017-10-13,1
2017-10-01,1
2017-10-01,1
2017-09-19,1
2017-09-18,1
2017-09-16,2
2017-09-12,1
2017-09-12,2
2017-09-11,1
2017-09-11,1
2017-09-09,1
2017-09-04,1
2017-09-04,1
2017-08-28,1
2017-08-23,1
2017-08-21,2
2017-08-21,4
2017-08-21,1
2017-08-06,1
2017-08-03,2
2017-07-26,1
2017-07-21,1
2017-07-08,1
2017-07-03,2
2016-11-30,1
2017-11-16,1
2017-11-12,1
2017-11-12,1
2017-11-10,1
2017-11-05,1
2017-06-15,2
2017-06-12,2
2017-06-06,2
2017-06-02,2
2018-05-08,1
2018-05-08,1
2018-05-06,1
2018-04-29,2
2018-04-24,2
2018-04-18,1
2018-04-18,1
2018-04-18,1
2018-04-13,1
2018-04-12,1
2018-04-02,2
2018-03-31,1
2015-09-19,1
2017-05-30,1
2015-08-18,1
2015-12-16,1
2015-12-15,1
2015-12-11,1
2015-12-06,1
2017-05-22,1
2017-05-16,1
2017-05-10,1
2018-06-08,1
2018-06-08,1
2018-05-25,1
2018-05-25,2
2018-06-11,1
2017-12-28,1
2015-07-13,1
2018-08-04,1
2017-04-17,3
2017-04-15,1
2017-04-14,1
2017-04-11,1
2017-04-04,1
2017-03-27,1
2017-03-19,1
2017-03-17,1
2017-03-15,2
2017-03-03,1
2017-02-28,1
2018-08-07,2
2017-02-06,1
2017-01-21,1
2016-01-25,2
2016-01-15,1
2016-11-24,2
2016-11-21,2
2016-11-19,1
2016-11-19,1
2016-11-17,2
2016-11-16,1
2016-11-15,1
2016-11-14,2
2016-11-11,3
2017-01-17,2
2017-01-16,2
2016-10-25,1
2016-10-17,1
2016-10-13,1
2016-10-04,1
2016-09-30,2
2016-09-28,3
2016-09-26,2
2016-09-16,1
2016-09-01,3
2018-06-12,1
2018-06-02,1
2018-06-04,1
2015-09-04,2
2018-03-28,1
2018-03-24,1
2018-03-12,2
2018-03-06,1
2018-03-01,1
2018-02-27,2
2018-02-23,1
2018-08-13,1
2018-02-11,1
2018-01-25,1
2018-01-17,1
2018-01-15,1
2018-01-01,1
2016-08-01,2
2016-07-27,1
2016-07-22,2
2016-07-13,2
2016-06-29,1
2016-06-23,1
2016-05-04,2
2016-04-25,1
2016-04-23,1
2016-04-19,2
2016-04-17,1
2016-03-21,2
2016-03-19,1
2016-03-15,1
2016-03-15,1
2016-02-29,1
2016-02-24,1
2016-02-16,1
2017-12-14,1
2017-12-04,2
2017-12-02,1
2017-12-01,2
2016-11-28,1
2016-12-15,1
2016-12-09,2
2016-12-11,1
2018-05-28,1
2018-06-22,3
2018-06-20,1
2018-07-06,1
2018-08-24,1
2017-12-09,1
2018-02-07,1
2018-02-14,1
2018-02-14,1
2017-02-16,1
2017-02-15,1
2018-08-27,1
2017-07-06,1
2017-12-04,1
2015-10-17,1
2015-10-31,1
2015-11-05,3
2015-11-05,1
2015-11-10,1
2015-11-19,2
2018-07-11,1
2018-07-15,1
2018-07-16,1
2018-07-17,1
2018-07-18,1
2018-07-19,1
2018-08-30,3
